S No,COA Code,Narration,Level #
189,3-05-050-0000-00000,        MARK-UP ACCRUED ON BORROWINGS,3
190,3-05-050-0001-00000,            MARK UP LONG  TERM FINANCING,4
191,3-05-050-0002-00000,            MARK UP SHORT  TERM FINANCING,4
192,3-05-050-0003-00000,            MARK UP LEASE LIABILITY,4
193,3-05-060-0000-00000,        PROVISION FOR TAXATION,3
194,3-05-060-0001-00000,            PROVISION FOR TAXATION,4
195,3-05-070-0000-00000,        OTHER PAYABLES,3
196,3-05-070-0001-00000,            CUSTOMER PAYABLE CANCELLATION,4
197,4-00-000-0000-00000,REVENUE,1
198,4-01-000-0000-00000,    RECEIPTS,2
199,4-01-010-0000-00000,        RECEIPTS FROM RESIDENTIAL CUSTOMERS,3
200,4-01-010-0001-00000,          RECEIPTS FROM 1-BED APARTMENT,4
201,4-01-010-0002-00000,          RECEIPTS FROM 2-BED APARTMENT,4
202,4-01-010-0003-00000,          RECEIPTS FROM 3-BED APARTMENT,4
203,4-01-020-0000-00000,        RECEIPTS FROM COMMERCIAL CUSTOMERS,3
204,4-01-020-0001-00000,          RECEIPTS FROM LOWER GROUND SHOPS,4
205,4-01-020-0002-00000,          RECEIPTS FROM GROUND FLOOR SHOPS,4
206,4-01-020-0003-00000,          RECEIPTS FROM 1ST FLOOR SHOPS,4
207,4-01-020-0004-00000,          RECEIPTS FROM 2ND FLOOR SHOPS,4
208,4-01-020-0005-00000,          RECEIPTS FROM 3RD FLOOR SHOPS,4
209,4-01-020-0006-00000,          RECEIPTS FROM 4TH FLOOR SHOPS,4
210,4-01-020-0007-00000,          RECEIPTS FROM 5TH FLOOR SHOPS,4
211,4-01-020-0008-00000,          RECEIPTS FROM 6TH FLOOR SHOPS,4
212,4-01-020-0009-00000,          RECEIPTS FROM 23RD FLOOR SHOPS,4
213,4-01-020-0010-00000,          RECEIPTS FROM 24TH FLOOR SHOPS,4
214,4-01-020-0011-00000,          RECEIPTS FROM 25TH FLOOR SHOPS,4
215,4-01-020-0012-00000,          RECEIPTS FROM 26TH FLOOR SHOPS,4
216,4-01-030-0000-00000,        RECEIPTS FROM PENT HOUSE,3
217,4-01-030-0001-00000,          RECEIPTS FROM PENT HOUSES,4
218,4-02-000-0000-00000,    OTHER INCOME,2
219,4-02-010-0000-00000,        OTHER INCOME - RENTAL,3
220,4-02-020-0000-00000,        OTHER INCOME - SURCHARGE,3
221,4-02-020-0001-00000,            SURCHARGE - RESIDENTIAL CUSTOMERS,4
222,4-02-020-0002-00000,            SURCHARGE - COMMERCIAL CUSTOMERS,4
223,4-02-030-0000-00000,        OTHER INCOME FROM CUSTOMERS,3
224,4-02-030-0001-00000,            INCOME FROM BOOKING FORMS,4
225,4-02-030-0002-00000,            INCOME FROM PROCESSING FEE,4
226,4-02-030-0003-00000,            INCOME FROM TRANSFER FEE,4
227,4-02-030-0004-00000,            INCOME FROM NDC FEE,4
228,4-02-030-0005-00000,            INCOME FROM MERGERS,4
229,4-02-030-0006-00000,            INCOME FROM BOOKING CANCELLATION,4
230,4-02-040-0000-00000,        OTHER INCOME FROM OPERATIONS,3
231,4-02-040-0001-00000,            RETURN ON BANK DEPOSIT,4
232,4-02-040-0002-00000,            GAIN/LOSSON SALE OF FIXED & LEASE ASSETS,4
233,4-02-040-0003-00000,            SALE ON SCRAP,4
234,5-00-000-0000-00000,EXPENSES,1
235,5-01-000-0000-00000,    DIRECT EXPENSES,2
236,5-01-010-0000-00000,        LAND DEVELOPMENT COST,3
237,5-01-010-0001-00000,            LAND EXPENSES,4
238,5-01-010-0002-00000,            DEVELOPMENT COST,4
239,5-01-010-0003-00000,            OTHER CONSTRUCTION COST,4
240,5-01-010-0004-00000,            OTHER NON CONSTRUCTION COST,4
241,5-01-020-0000-00000,        DISCOUNTS ON SALES ,3
242,5-01-020-0001-00000,            DISCOUNTS/REBATES ON BOOKING,4
243,5-01-020-0002-00000,            DISCOUNTS/REBATES ON SUBMISSION,4
244,5-01-020-0003-00000,            DISCOUNTS/REBATES ON CONFIRMATION,4
245,5-01-020-0004-00000,            OTHER DISCOUNTS/REBATES,4
246,5-02-000-0000-00000,    OPERATING EXPENSES,2
247,5-02-010-0000-00000,        ADMIN EXPENSES,3
248,5-02-010-0001-00000,"            SALARIES, WAGES AND BENEFITS",4
249,5-02-010-0001-00001,                STAFF SALARIES,5
250,5-02-010-0001-00002,                BONUS,5
251,5-02-010-0001-00003,                OVERTIME,5
252,5-02-010-0001-00004,                DAILY WAGES,5
253,5-02-010-0001-00005,                LEAVE SALARY PAYMENT,5
254,5-02-010-0001-00006,                GRATUITY,5
255,5-02-010-0001-00007,                E.O.B.I.,5
256,5-02-010-0001-00008,                SOCIAL SECURITY CONTRIBUTION,5
257,5-02-010-0001-00009,                DIRECTOR  REMUNERATIONS/ EXPENSES,5
258,5-02-010-0001-00010,                MEDICAL EXPENSE,5
259,5-02-010-0001-00011,                WORKER WELFARE FUND,5
260,5-02-010-0002-00000,            UTILITIES EXPENSE,4
261,5-02-010-0002-00001,                ELECTRICITY EXPENSE,5
262,5-02-010-0002-00002,                GAS EXPENSE,5
263,5-02-010-0002-00003,                WSSP EXPENSE,5
264,5-02-010-0002-00004,                TELEPHONE EXPENSE,5
265,5-02-010-0002-00005,                INTERNET EXPENSE,5
266,5-02-010-0003-00000,            RENT EXPENSES,4
267,5-02-010-0004-00000,           TRAVELLING EXPENSES,4
268,5-02-010-0004-00001,                EMPLOYEES MONTHLY FUEL,5
269,5-02-010-0004-00002,                DIRECTORS TRAVELLING,5
270,5-02-010-0004-00003,                FOOD EXPENSES,5
271,5-02-010-0004-00004,                HOTELING EXPENSES,5
272,5-02-010-0004-00005,                OTHER OFFICIAL TRAVELLING,5
273,5-02-010-0005-00000,            OFFICE EXPENSES,4
274,5-02-010-0005-00001,                PRINTING AND STATIONARY,5
275,5-02-010-0005-00002,                OFFICE ENTERTAINMENT,5
276,5-02-010-0005-00003,                KITCHEN EXPENSES,5
277,5-02-010-0005-00004,                OFFICE CLEANING EXPENSES,5
278,5-02-010-0005-00005,                POSTAGE AND COURIER,5
279,5-02-010-0005-00006,                NEWSPAPER AND PERIODICALS,5
280,5-02-010-0005-00007,                OTHER MISC OFFICE EXPENSES,5
281,5-02-010-0006-00000,           REPAIR & MAINTENANCE,4
282,5-02-010-0006-00001,                REPAIR AND MAINTENANCE EE&I,5
283,5-02-010-0006-00002,                REPAIR AND MAINTENANCE OFFICE EQUIPMENTS,5
284,5-02-010-0006-00003,                REPAIR AND MAINTENANCE-VEHICLES,5
285,5-02-010-0006-00004,                REPAIR AND MAINTENANCE-OFFICIAL MOTOR CYCLES,5
286,5-02-010-0006-00005,                REPAIR AND MAINTENANCE OFFICE BUILDING,5
287,5-02-010-0006-00006,                REPAIR AND MAINTENANCE FURNITURE & FIXTURE,5
288,5-02-010-0006-00007,                REPAIR AND MAINTENANCE PLANT & MACHINERY,5
289,5-02-010-0006-00008,                REPAIR AND MAINTENANCE COMPUTERS,5
290,5-02-010-0006-00009,                REPAIR AND MAINTENANCE ELECTRIC EQUIPMENT,5
291,5-02-010-0006-00010,                REPAIR AND  MAINTANCE GENERAL,5
292,5-02-010-0006-00011,                REPAIR AND MAINTENANCE GENERATOR,5
293,5-02-010-0007-00000,            LEGAL & PROFESSION CHARGES,4
294,5-02-010-0007-00001,                LEGAL CHARGES,5
295,5-02-010-0007-00002,                PROFESSIONAL CHARGES,5
296,5-02-010-0007-00003,                AUDIT FEE,5
297,5-02-010-0007-00004,                FEE AND SUBSCRIPTION,5
298,5-02-010-0007-00005,                INSURANCE EXPENSE,5
299,5-02-010-0008-00000,            CHARITY & DONATION EXPENSE,4
300,5-02-010-0009-00000,            DEPRECIATION,4
301,5-02-020-0000-00000,        SELLING & MARKETING EXPENSE,3
302,5-02-020-0001-00000,            ADVERTISEMENT AND SALES PROMOTION,4
303,5-02-020-0002-00000,            ENTERTAINMENT EXPENSE MARKETING,4
304,5-02-020-0003-00000,            EVENT EXPENSES,4
305,5-02-020-0004-00000,            PRINTING EXPENSES,4
306,5-03-000-0000-00000,    FINANCE COST,2
307,5-03-010-0000-00000,            BANK CHARGES,3
308,5-03-020-0000-00000,            MARKUP CHARGES,3
309,5-04-000-0000-00000,    TAXATION,2
310,5-04-010-0000-00000,        INCOME TAX,3
311,5-04-010-0001-00000,            INCOME TAX EXPENSE CURRENT,4
312,5-04-010-0002-00000,            INCOME TAX DEFFERED EXPENSE,4
313,9-00-000-0000-00000,SUSPENSE,1
314,9-99-000-0000-00000,   SUSPENSE,2
315,9-99-999-0000-00000,        SUSPENSE,3
316,9-99-999-9999-00000,            SUSPENSE,4
